Title,Director,Genre,Cast
Bornless Ones,Alexandr Babaev,Horror Mystery Thriller,Michael Johnston Mark Furze David Banks
The Great Wall,Zhang Yimou,Action Adventure Fantasy,Matt Damon Jing Tian Willem Dafoe
A Cure for Wellness,Gore Verbinski,Horror Mystery Science Fiction Thriller,Dane DeHaan Jason Isaacs Mia Goth
Fist Fight,Richie Keen,Comedy,Charlie Day Ice Cube Tracy Morgan
American Fable,Sarah Schooley,Drama Thriller,Peyton Kennedy Richard Schiff Kip Pardue
XX,Cho Ting-Wu,unknown,Huang Di Yang
Lovesong,So Yong Kim,Drama Romance,Riley Keough Jena Malone Jessie Ok Gray
Get Out,Jordan Peele,Mystery Thriller Horror,Daniel Kaluuya Allison Williams Catherine Keener
Rock Dog,Mark Baldo,Animation Comedy Music Family,Andrew Francis Ashleigh Ball Brian Dobson
Collide,Eran Creevy,Thriller Action,Nicholas Hoult Felicity Jones Anthony Hopkins
The Girl with All the Gifts,Colm McCarthy,Drama Horror Thriller Science Fiction,Sennia Nanua Gemma Arterton Paddy Considine
I Don't Feel at Home in This World Anymore,Macon Blair,Comedy Crime Drama Thriller,Melanie Lynskey Elijah Wood David Yow
Contemporary Color,Turner Ross,Documentary Music,David Byrne St. Vincent Ira Glass
Logan,James Mangold,Action Drama Science Fiction,Hugh Jackman Dafne Keen Patrick Stewart
The Shack,Stuart Hazeldine,Drama Fantasy,Sam Worthington Octavia Spencer Tim McGraw
Before I Fall,Ry Russo-Young,Drama Mystery Thriller Fantasy,Zoey Deutch Halston Sage Elena Kampouris
Table 19,Jeffrey Blitz,Comedy Drama,Anna Kendrick Craig Robinson June Squibb
The Last Word,Mark Pellington,Comedy Drama,Shirley MacLaine Amanda Seyfried Anne Heche
Catfight,Onur Tukel,Comedy Drama,Sandra Oh Anne Heche Alicia Silverstone
Donald Cried,Kris Avedisian,Drama Comedy,Louisa Krause Allie Marshall Alexander Cook
Kong: Skull Island,Spiro Razatos,Action Adventure Fantasy,Tom Hiddleston Samuel L. Jackson John Goodman
Burning Sands,Gerard McMurray,Drama,Trevor Jackson Alfre Woodard Steve Harris
Beauty and the Beast,Gary Trousdale,Romance Family Animation Fantasy,Paige O'Hara Robby Benson Richard White
The Belko Experiment,Greg McLean,Thriller Horror Action,John Gallagher Jr. Tony Goldwyn Adria Arjona
Song to Song,Terrence Malick,Drama Romance,Ryan Gosling Rooney Mara Michael Fassbender
Atomica,Dagen Merrill,Science Fiction Thriller,Tom Sizemore Sarah Habel Dominic Monaghan
All Nighter,Gavin Wiesen,Comedy,J.K. Simmons Lio Tipton Emile Hirsch
The Devil's Candy,Sean Byrne,Drama Horror Thriller,Ethan Embry Shiri Appleby Pruitt Taylor Vince
Power Rangers,Dean Israelite,Science Fiction Action Adventure,Dacre Montgomery Naomi Scott RJ Cyler
Life,Andrew Stanton,Adventure Animation Comedy Family,Dave Foley Kevin Spacey Julia Louis-Dreyfus
CHiPs,Dax Shepard,Action Comedy Crime,Michael Peña Dax Shepard Jessica McNamee
Wilson,Richard L. Fox,Comedy Drama,Woody Harrelson Laura Dern Isabella Amara
Victor,Paul McGuigan,Drama Science Fiction Thriller,James McAvoy Daniel Radcliffe Jessica Brown Findlay
Car Dogs,Adam Collis,Drama Comedy,Alessandra Torresani Octavia Spencer Patrick J. Adams
Walk of Fame,Jesse Thomas,Comedy,Scott Eastwood Laura Ashley Samuels Malcolm McDowell
The Marine 5: Battleground,James Nunn,Action,Mike Mizanin Anna Van Hooft Joseph Curtis Hennig
Ghost in the Shell,Mamoru Oshii,Action Animation Science Fiction,Atsuko Tanaka Akio Otsuka Iemasa Kayumi
The Boss Baby,Tom McGrath,Animation Comedy Adventure Family,Alec Baldwin James Marsden Amy Sedaris
The Zookeeper's Wife,Niki Caro,Drama History,Jessica Chastain Daniel Brühl Johan Heldenbergh
The Blackcoat's Daughter,Oz Perkins,Horror Thriller,Emma Roberts Kiernan Shipka Lucy Boynton
The Discovery,Charlie McDowell,Drama Romance Science Fiction Thriller Mystery,Jason Segel Rooney Mara Robert Redford
Carrie Pilby,Susan Johnson,Comedy Drama,Bel Powley Nathan Lane Gabriel Byrne
The Case for Christ,Jon Gunn,Drama,Mike Vogel Erika Christensen Faye Dunaway
Smurfs: The Lost Village,Kelly Asbury,Family Adventure Animation Comedy,Demi Lovato Rainn Wilson Joe Manganiello
Going in Style,Zach Braff,Crime Comedy,Morgan Freeman Michael Caine Alan Arkin
Colossal,Nacho Vigalondo,Drama Fantasy Science Fiction,Anne Hathaway Jason Sudeikis Tim Blake Nelson
Gifted,Marc Webb,Family Drama Comedy,Chris Evans Mckenna Grace Lindsay Duncan
Aftermath,Peter Winther,Horror Crime Drama Thriller,Ashley Greene Shawn Ashmore Britt Baron
The Fate of the Furious,F. Gary Gray,Action Crime Thriller,Vin Diesel Jason Statham Dwayne Johnson
Spark,Aaron Woodley,Adventure Animation Comedy Family Science Fiction,Jessica Biel Hilary Swank Susan Sarandon
The Lost City of Z,James Gray,Adventure Drama History,Charlie Hunnam Robert Pattinson Sienna Miller
My Entire High School Sinking Into the Sea,Dash Shaw,Animation Comedy Drama,Jason Schwartzman Lena Dunham Reggie Watts
The Outcasts,Peter Hutchings,Comedy,Victoria Justice Eden Sher Ashley Rickards
Born in China,Lu Chuan,Documentary,John Krasinski Zhou Xun
Unforgettable,Denise Di Novi,Drama Thriller,Rosario Dawson Katherine Heigl Geoff Stults
The Promise,Terry George,History Romance Drama,Oscar Isaac Charlotte Le Bon Christian Bale
The Circle,James Ponsoldt,Drama Thriller Science Fiction,Emma Watson Tom Hanks John Boyega
How to Be a Latin Lover,Ken Marino,Comedy,Eugenio Derbez Salma Hayek Rob Lowe
Sleight,J.D. Dillard,Drama Thriller Action Science Fiction,Jacob Latimore Seychelle Gabriel Storm Reid
Becoming Bond,Josh Greenbaum,Documentary Comedy,George Lazenby Josh Lawson Kassandra Clementi
Guardians of the Galaxy Vol. 2,James Gunn,Adventure Action Science Fiction,Chris Pratt Zoe Saldana Dave Bautista
The Lovers,Roland Joffé,Action Adventure Science Fiction Romance,Josh Hartnett Simone Kessell Tamsin Egerton
3 Generations,Gaby Dellal,Comedy Drama,Elle Fanning Susan Sarandon Naomi Watts
King Arthur: Legend of the Sword,Guy Ritchie,Action Drama Fantasy,Charlie Hunnam Astrid Bergès-Frisbey Jude Law
Snatched,E. J. Foerster,Action Comedy,Amy Schumer Goldie Hawn Tom Bateman
Lowriders,Ricardo de Montreuil,Drama Action Crime,Demián Bichir Gabriel Chavarria Theo Rossi
The Wall,Doug Liman,Thriller War Drama,Aaron Taylor-Johnson John Cena Laith Nakli
Paris Can Wait,Eleanor Coppola,Romance Comedy Drama,Diane Lane Arnaud Viard Alec Baldwin
Alien: Covenant,Ridley Scott,Horror Science Fiction Mystery,Michael Fassbender Katherine Waterston Billy Crudup
Diary of a Wimpy Kid: The Long Haul,David Bowers,Comedy Family,Jason Ian Drucker Alicia Silverstone Tom Everett Scott
"Everything, Everything",Deirdre De Butler,Drama Romance,Amandla Stenberg Nick Robinson Anika Noni Rose
Wakefield,Robin Swicord,Drama,Bryan Cranston Jennifer Garner Jason O'Mara
Baywatch,Seth Gordon,Comedy Action Crime,Dwayne Johnson Zac Efron Priyanka Chopra Jonas
Pirates of the Caribbean: Dead Men Tell No Tales,Joachim Rønning,Adventure Action Fantasy,Johnny Depp Javier Bardem Geoffrey Rush
Buena Vista Social Club: Adios,Lucy Walker,Documentary Music,Ibrahim Ferrer Omara Portuondo Manuel 'Guajiro' Mirabal
War Machine,David Michôd,Comedy Drama War,Brad Pitt Anthony Michael Hall Emory Cohen
Wonder Woman,Patty Jenkins,Action Adventure Fantasy,Gal Gadot Chris Pine Kristen Wiig
Captain Underpants: The First Epic Movie,David Soren,Family Action Animation Comedy,Kevin Hart Ed Helms Nick Kroll
Dean,Demetri Martin,Romance Comedy,Demetri Martin Gillian Jacobs Christine Woods
The Mummy,Stephen Sommers,Adventure Action Fantasy,Brendan Fraser Rachel Weisz John Hannah
It Comes at Night,Trey Edward Shults,Drama Horror Mystery,Kelvin Harrison Jr. Joel Edgerton Christopher Abbott
My Cousin Rachel,Roger Michell,Drama Romance,Rachel Weisz Sam Claflin Holliday Grainger
Megan Leavey,Gabriela Cowperthwaite,Drama War,Kate Mara Ramón Rodríguez Tom Felton
Beatriz at Dinner,Miguel Arteta,Comedy Drama,Salma Hayek John Lithgow Connie Britton
Cars 3,Adam Habib,Animation Adventure Comedy Family,Owen Wilson Cristela Alonzo Chris Cooper
Rough Night,Lucia Aniello,Drama Comedy,Scarlett Johansson Jillian Bell Zoë Kravitz
All Eyez on Me,Benny Boom,Music Drama,Demetrius Shipp Jr. Danai Gurira Kat Graham
47 Meters Down,Johannes Roberts,Horror Drama Thriller Adventure,Mandy Moore Claire Holt Matthew Modine
The Book of Henry,Colin Trevorrow,Drama Crime Thriller,Naomi Watts Jaeden Martell Jacob Tremblay
Transformers: The Last Knight,Michael Bay,Action Adventure Science Fiction Fantasy,Mark Wahlberg Josh Duhamel Stanley Tucci
The Beguiled,Sofia Coppola,Drama,Colin Farrell Nicole Kidman Kirsten Dunst
The Big Sick,Nicholas Bell,Comedy Drama Romance,Kumail Nanjiani Zoe Kazan Holly Hunter
The Bad Batch,Ana Lily Amirpour,Drama Horror Science Fiction,Suki Waterhouse Jason Momoa Keanu Reeves
Baby Driver,Edgar Wright,Action Crime,Ansel Elgort Kevin Spacey Lily James
Okja,Bong Joon-ho,Adventure Drama Science Fiction,Ahn Seo-hyun Tilda Swinton Paul Dano
Despicable Me 3,Kyle Balda,Action Animation Comedy Family Adventure,Steve Carell Kristen Wiig Trey Parker
The House,Paloma Baeza,Animation Drama Comedy Horror,Matthew Goode Helena Bonham Carter Claudie Blakley
The Little Hours,Jeff Baena,Comedy,Alison Brie Dave Franco Kate Micucci
Inconceivable,Craig Borden,Thriller Drama,Nicolas Cage Gina Gershon Nicky Whelan
2:22,Betty Fotofili,Drama Thriller Romance Science Fiction Mystery,Michiel Huisman Teresa Palmer Sam Reid
A Ghost Story,David Lowery,Drama Fantasy,Casey Affleck Rooney Mara Will Oldham
Spider-Man: Homecoming,Jon Watts,Action Adventure Science Fiction Drama,Tom Holland Michael Keaton Robert Downey Jr.
War for the Planet of the Apes,Matt Reeves,Drama Science Fiction War,Andy Serkis Woody Harrelson Steve Zahn
Wish Upon,Broni Likomanov,Animation,Bret Iwan Kaitlyn Robrock Bill Farmer
Dunkirk,Christopher Nolan,War Action Drama,Fionn Whitehead Tom Hardy Mark Rylance
Girls Trip,Malcolm D. Lee,Comedy,Regina Hall Queen Latifah Jada Pinkett Smith
First Kill,Steven C. Miller,Action Thriller Crime,Bruce Willis Hayden Christensen Ty Shelton
Atomic Blonde,David Leitch,Action Thriller,John Goodman Til Schweiger Eddie Marsan
The Emoji Movie,Tony Leondis,Animation Family Comedy,T. J. Miller James Corden Anna Faris
An Inconvenient Sequel: Truth to Power,Jon Shenk,Documentary,Al Gore Barack Obama Donald Trump
Detroit,Kathryn Bigelow,Crime Drama Thriller History,John Boyega Will Poulter Anthony Mackie
Brigsby Bear,Dave McCary,Comedy Drama,Kyle Mooney Mark Hamill Jorge Lendeborg Jr.
Menashe,Joshua Z Weinstein,Drama,Menashe Lustig Ruben Niborski Yoel Weisshaus
The Dark Tower,Nikolaj Arcel,Fantasy Action Science Fiction Adventure,Idris Elba Matthew McConaughey Tom Taylor
Kidnap,Luis Prieto,Drama Thriller,Halle Berry Sage Correa Chris McGinn
Step,Anne Fletcher,Music Drama Romance Crime,Channing Tatum Jenna Dewan Damaine Radcliff
Wind River,Nicolas Harvard,Crime Drama Mystery Thriller,Jeremy Renner Elizabeth Olsen Gil Birmingham
Armed Response,John Stockwell,Action Horror Thriller,Wesley Snipes Anne Heche Dave Annable
Annabelle: Creation,Jan McWilliams,Horror Mystery Thriller,Stephanie Sigman Talitha Bateman Lulu Wilson
The Glass Castle,Richard L. Fox,Drama,Brie Larson Woody Harrelson Naomi Watts
The Nut Job 2: Nutty by Nature,Cal Brunker,Animation Family Adventure Comedy,Will Arnett Maya Rudolph Bobby Cannavale
Good Time,Josh Safdie,Thriller Crime Drama,Robert Pattinson Jennifer Jason Leigh Buddy Duress
Ingrid Goes West,Matt Spicer,Comedy Drama,Aubrey Plaza Elizabeth Olsen O'Shea Jackson Jr.
The Only Living Boy in New York,Marc Webb,Drama,Callum Turner Jeff Bridges Kate Beckinsale
The Hitman's Bodyguard,Patrick Hughes,Thriller Comedy Crime Action,Ryan Reynolds Samuel L. Jackson Gary Oldman
Logan Lucky,Steven Soderbergh,Action Comedy Crime Drama,Channing Tatum Adam Driver Riley Keough
Patti Cake$,Geremy Jasper,Drama Music,Danielle Macdonald Bridget Everett Siddharth Dhananjay
Victor Crowley,Adam Green,Comedy Horror,Kane Hodder Laura Ortiz Parry Shen
All Saints,Steve Gomer,Drama Comedy,Cara Buono John Corbett Barry Corbin
Served Like A Girl,Lysa Hayland,Documentary,Nichole Alred Jas Boothe Rachel Engler
Beach Rats,Eliza Hittman,Drama Romance,Harris Dickinson Madeline Weinstein Kate Hodge
Film Stars Don't Die in Liverpool,Paul McGuigan,Romance Drama,Annette Bening Jamie Bell Julie Walters
Tulip Fever,Justin Chadwick,Drama Romance,Alicia Vikander Dane DeHaan Judi Dench
Unlocked,Greg Powell,Action Thriller,Noomi Rapace Orlando Bloom Michael Douglas
It,William Waring,Horror Fantasy,Jaeden Martell Jeremy Ray Taylor Sophia Lillis
Home Again,Susan Malerstein,Comedy Drama Romance,Reese Witherspoon Pico Alexander Michael Sheen
9/11,Martin Guigui,Drama Thriller,Charlie Sheen Whoopi Goldberg Luis Guzmán
The Good Catholic,Paul Shoulberg,Drama Comedy,Zachary Spicer Wrenn Schmidt John C. McGinley
Gun Shy,Simon West,Action Adventure Comedy Crime Thriller,Antonio Banderas Olga Kurylenko Mark Valley
Fallen,Scott Hicks,Drama Fantasy Romance,Addison Timlin Jeremy Irvine Juliet Aubrey
American Assassin,Michael Cuesta,Action Thriller,Dylan O'Brien Michael Keaton Taylor Kitsch
Mother!,Mattson Tomlin,Science Fiction Thriller,Chloë Grace Moretz Algee Smith Raúl Castillo
Brad's Status,Mike White,Comedy Drama,Ben Stiller Austin Abrams Jenna Fischer
Kingsman: The Golden Circle,Matthew Vaughn,Action Adventure Comedy Crime Thriller,Colin Firth Julianne Moore Taron Egerton
The Lego Ninjago Movie,Paul Fisher,Family Animation Action Adventure Comedy,Dave Franco Justin Theroux Fred Armisen
Stronger,David Gordon Green,Drama,Jake Gyllenhaal Tatiana Maslany Miranda Richardson
Battle of the Sexes,Jonathan Dayton,Comedy Drama History,Emma Stone Steve Carell Andrea Riseborough
Woodshock,Kate Mulleavy,Thriller Drama,Kirsten Dunst Joe Cole Pilou Asbæk
Victoria & Abdul,Stephen Frears,Drama History,Judi Dench Ali Fazal Tim Pigott-Smith
(Romance) in the Digital Age,Jason Michael Brescia,Comedy,Chris Warren Lauren Pritchard Lauren Moore
Jeepers Creepers 3,Victor Salva,Horror Mystery Thriller,Gina Philips Gabrielle Haugh Jonathan Breck
American Made,Doug Liman,Action Crime Comedy,Tom Cruise Sarah Wright Domhnall Gleeson
Flatliners,Niels Arden Oplev,Drama Horror Thriller,Elliot Page Diego Luna Nina Dobrev
Mark Felt: The Man Who Brought Down the White House,Peter Landesman,Drama History Thriller,Liam Neeson Diane Lane Maika Monroe
Blade Runner 2049,Joel Kramer,Science Fiction Drama,Ryan Gosling Harrison Ford Ana de Armas
The Mountain Between Us,Hany Abu-Assad,Romance Adventure Drama,Idris Elba Kate Winslet Dermot Mulroney
My Little Pony: The Movie,Jayson Thiessen,Family Animation Music Adventure Fantasy,Uzo Aduba Ashleigh Ball Emily Blunt
The Florida Project,Sean Baker,Drama,Willem Dafoe Brooklynn Prince Bria Vinaite
Brawl in Cell Block 99,S. Craig Zahler,Action Crime Thriller,Vince Vaughn Jennifer Carpenter Don Johnson
Happy Death Day,Christopher Landon,Horror Mystery Comedy,Jessica Rothe Israel Broussard Ruby Modine
Marshall,Reginald Hudlin,Drama,Chadwick Boseman Josh Gad Kate Hudson
Breathe,Rodo Sayagues,Thriller Horror,Stephen Lang Brendan Sexton III Madelyn Grace
Goodbye Christopher Robin,Simon Curtis,Family History Drama,Domhnall Gleeson Margot Robbie Kelly Macdonald
Professor Marston and the Wonder Women,Angela Robinson,Drama Romance,Luke Evans Rebecca Hall Bella Heathcote
Blood Money,Vishal Mahadkar,Drama Action Thriller,Kunal Khemu Amrita Puri Manish Choudhary
Geostorm,Dean Devlin,Action Science Fiction Thriller,Gerard Butler Alexandra Maria Lara Jim Sturgess
Only the Brave,Keith Woulard,Drama Action History,Josh Brolin Miles Teller Jeff Bridges
Boo 2! A Madea Halloween,Tyler Perry,Horror Comedy,Tyler Perry Cassi Davis Diamond White
Same Kind of Different as Me,Michael Carney,Drama,Greg Kinnear Djimon Hounsou Renée Zellweger
Leatherface,Alexandre Bustillo,Horror Thriller Mystery,Stephen Dorff Lili Taylor Sam Strike
Wonderstruck,Todd Haynes,Drama,Oakes Fegley Millicent Simmonds Julianne Moore
The Killing of a Sacred Deer,Yorgos Lanthimos,Drama Thriller Mystery,Colin Farrell Nicole Kidman Barry Keoghan
Thank You for Your Service,Jason Hall,Drama War,Miles Teller Haley Bennett Joe Cole
Suburbicon,George Clooney,Thriller Crime Drama Mystery,Matt Damon Julianne Moore Noah Jupe
Jigsaw,Simon Board,Horror Crime Mystery Thriller,Matt Passmore Tobin Bell Callum Keith Rennie
Novitiate,Margaret Betts,Drama,Margaret Qualley Melissa Leo Julianne Nicholson
All I See Is You,Marc Forster,Mystery Thriller,Blake Lively Jason Clarke Ahna O'Reilly
Amityville: The Awakening,Franck Khalfoun,Thriller Horror,Jennifer Jason Leigh Bella Thorne Cameron Monaghan
Thor: Ragnarok,Ben Cooke,Action Adventure Fantasy Science Fiction,Chris Hemsworth Tom Hiddleston Cate Blanchett
A Bad Moms Christmas,Jon Lucas,Comedy,Mila Kunis Kristen Bell Kathryn Hahn
Last Flag Flying,Richard Linklater,Drama Comedy,Steve Carell Bryan Cranston Laurence Fishburne
Lady Bird,Greta Gerwig,Drama Comedy,Saoirse Ronan Laurie Metcalf Tracy Letts
Murder on the Orient Express,Kenneth Branagh,Mystery Crime Drama,Kenneth Branagh Penélope Cruz Willem Dafoe
Daddy's Home 2,Matt Rebenkoff,Comedy,Will Ferrell Mark Wahlberg John Lithgow
LBJ,Rob Reiner,Drama History,Woody Harrelson Michael Stahl-David Richard Jenkins
"Three Billboards Outside Ebbing, Missouri",Peter Kohn,Crime Drama,Frances McDormand Sam Rockwell Lucas Hedges
Mayhem,Christopher Landry,Action Comedy Horror,Steven Yeun Samara Weaving Steven Brand
Justice League,Zack Snyder,Action Adventure Fantasy Science Fiction,Ben Affleck Henry Cavill Gal Gadot
The Star,Timothy Reckart,Comedy Adventure Family Fantasy Animation,Steven Yeun Keegan-Michael Key Aidy Bryant
Wonder,Patty Jenkins,Action Adventure Fantasy,Gal Gadot Chris Pine Kristen Wiig
Cook Off!,Cathryn Michon,Comedy,Melissa McCarthy Wendi McLendon-Covey Stephen Root
Mr. Roosevelt,Noël Wells,Comedy,Noël Wells Nick Thune Britt Lower
"Roman J. Israel, Esq.",Dan Gilroy,Drama Crime Thriller,Denzel Washington Colin Farrell Carmen Ejogo
Coco,Lee Unkrich,Family Animation Fantasy Music Comedy Adventure,Anthony Gonzalez Gael García Bernal Benjamin Bratt
Darkest Hour,Joe Wright,Drama History,Gary Oldman Kristin Scott Thomas Lily James
The Man Who Invented Christmas,Bharat Nalluri,Drama History Comedy Family,Dan Stevens Christopher Plummer Jonathan Pryce
Call Me by Your Name,Luca Guadagnino,Romance Drama,Timothée Chalamet Armie Hammer Michael Stuhlbarg
The Disaster Artist,James Franco,Comedy Drama,James Franco Dave Franco Seth Rogen
The Shape of Water,Pierre Henry,Drama Fantasy Romance,Sally Hawkins Doug Jones Michael Shannon
Wonder Wheel,Woody Allen,Drama,Jim Belushi Juno Temple Justin Timberlake
"I, Tonya",Craig Gillespie,Drama,Margot Robbie Sebastian Stan Julianne Nicholson
Just Getting Started,Ron Shelton,Action Comedy,Morgan Freeman Tommy Lee Jones Rene Russo
Star Wars: The Last Jedi,Rian Johnson,Science Fiction Action Adventure,Mark Hamill Carrie Fisher Adam Driver
Ferdinand,Carlos Saldanha,Animation Family Adventure Comedy,John Cena Kate McKinnon Anthony Anderson
Beyond Skyline,Liam O'Donnell,Action Science Fiction Adventure Horror,Frank Grillo Bojana Novaković Iko Uwais
Jumanji: Welcome to the Jungle,Jack Gill,Adventure Action Comedy Fantasy,Dwayne Johnson Jack Black Kevin Hart
The Greatest Showman,Peter Kohn,Drama,Hugh Jackman Zac Efron Michelle Williams
Pitch Perfect 3,Daniel Silverberg,Comedy Music,Anna Kendrick Rebel Wilson Brittany Snow
Downsizing,Alexander Payne,Comedy Drama Science Fiction,Matt Damon Christoph Waltz Hong Chau
Father Figures,Lawrence Sher,Comedy,Owen Wilson Ed Helms J.K. Simmons
The Post,Steven Spielberg,Drama History,Meryl Streep Tom Hanks Sarah Paulson
Bright,David Ayer,Fantasy Action Thriller,Will Smith Joel Edgerton Lucy Fry
Crooked House,Gilles Paquet-Brenner,Drama Mystery Crime,Glenn Close Max Irons Stefanie Martini
Hostiles,Scott Cooper,Western Drama History,Christian Bale Rosamund Pike Wes Studi
All the Money in the World,Ridley Scott,Thriller Drama Crime Mystery History,Michelle Williams Christopher Plummer Mark Wahlberg
Molly's Game,Aaron Sorkin,Crime Drama,Jessica Chastain Idris Elba Kevin Costner
Phantom Thread,Paul Thomas Anderson,Drama Romance,Daniel Day-Lewis Vicky Krieps Lesley Manville
Insidious: The Last Key,Adam Robitel,Horror Mystery Thriller,Lin Shaye Angus Sampson Leigh Whannell
The Strange Ones,Lauren Wolkstein,Thriller Drama,Alex Pettyfer James Freedson-Jackson Marin Ireland
Stratton,Simon West,Action Thriller,Dominic Cooper Gemma Chan Connie Nielsen
Sweet Country,Warwick Thornton,Drama History Western,Hamilton Morris Bryan Brown Sam Neill
The Commuter,Sandrine Loisy,Action Thriller,Liam Neeson Vera Farmiga Patrick Wilson
Proud Mary,Babak Najafi,Thriller Action Crime,Taraji P. Henson Jahi Di'Allo Winston Danny Glover
Acts of Violence,Brett Donowho,Action,Bruce Willis Cole Hauser Shawn Ashmore
Freak Show,Trudie Styler,Comedy Drama,Alex Lawther Ian Nelson AnnaSophia Robb
Humor Me,Sam Hoffman,Comedy,Jemaine Clement Elliott Gould Ingrid Michaelson
Vazante,Daniela Thomas,Drama,Adriano Carvalho Luana Nastas Sandra Corveloni
Mary and the Witch's Flower,Hiromasa Yonebayashi,Fantasy Adventure Animation,Yuki Amami Ryunosuke Kamiki Hana Sugisaki
12 Strong,David H. Venghaus Jr.,War Drama Action History,Chris Hemsworth Michael Shannon Michael Peña
Den of Thieves,Christian Gudegast,Action Thriller Crime,Gerard Butler Dawn Olivieri O'Shea Jackson Jr.
Forever My Girl,Bethany Ashton Wolf,Romance Drama Music,Alex Roe Jessica Rothe John Benjamin Hickey
Maze Runner: The Death Cure,Wes Ball,Science Fiction Action Adventure Thriller,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster
The Insult,Robert K. Weiss,Comedy Crime,Leslie Nielsen Priscilla Presley George Kennedy
Please Stand By,David Dwiggins,Comedy Drama,Dakota Fanning Alice Eve Toni Collette
Winchester,Michael Spierig,Horror Thriller,Helen Mirren Jason Clarke Sarah Snook
A Fantastic Woman,Sebastián Lelio,Drama,Daniela Vega Francisco Reyes Luis Gnecco
Armed,John Stockwell,Action Horror Thriller,Wesley Snipes Anne Heche Dave Annable
The Cloverfield Paradox,Julius Onah,Horror Science Fiction Action Thriller,Gugu Mbatha-Raw Daniel Brühl Chris O'Dowd
Bad Apples,Mel House,Horror,Brea Grant Graham Skipper Alycia Lourim
Peter Rabbit,Will Gluck,Family Comedy Adventure Animation Fantasy,James Corden Rose Byrne Domhnall Gleeson
Fifty Shades Freed,James Foley,Drama Romance,Dakota Johnson Jamie Dornan Eric Johnson
The 15:17 to Paris,Clint Eastwood,Thriller History Drama,Ray Corasani Spencer Stone Anthony Sadler
La Boda de Valentina,Marco Polo Constandse,Comedy,Omar Chaparro Kate Vernon Ryan Carnes
Kri,unknown,unknown,Raymond Dandy
Permission,Brian Crano,Comedy Romance Drama,Rebecca Hall Dan Stevens Gina Gershon
Monster Family,Holger Tappe,Animation Family,Emily Watson Nick Frost Jessica Brown Findlay
Golden Exits,Alex Ross Perry,Drama,Emily Browning Mary-Louise Parker Adam Horovitz
Black Panther,Lisa C. Satriano,Action Adventure Science Fiction,Chadwick Boseman Michael B. Jordan Lupita Nyong'o
Early Man,Nick Park,Family Comedy Animation Adventure,Eddie Redmayne Tom Hiddleston Maisie Williams
Loveless,Kathryn Bigelow,Drama,Willem Dafoe Robert Gordon Marin Kanter
The Party,Stephen Herek,Fantasy Comedy Drama,Victoria Justice Midori Francis Robyn Scott
Nostalgia,Mark Pellington,Drama,Jon Hamm Catherine Keener John Ortiz
Black '47,Lance Daly,Drama Western,Hugo Weaving James Frecheville Stephen Rea
Samson,Gabriel Sabloff,Action Drama Adventure,Jackson Rathbone Billy Zane Taylor James
Game Night,John Francis Daley,Mystery Comedy Crime,Jason Bateman Rachel McAdams Kyle Chandler
Annihilation,Alex Garland,Science Fiction Horror,Natalie Portman Jennifer Jason Leigh Gina Rodriguez
Every Day,Simon Board,Fantasy Romance,Angourie Rice Justice Smith Debby Ryan
The Cured,Dave Moran,Horror Drama Science Fiction,Elliot Page Sam Keeley Tom Vaughan-Lawlor
The Lodgers,Brian O'Malley,Drama Horror Romance Thriller,Bill Milner Charlotte Vega Eugene Simon
Red Sparrow,Francis Lawrence,Mystery Thriller,Jennifer Lawrence Joel Edgerton Matthias Schoenaerts
Death Wish,Eli Roth,Action Crime Drama Thriller,Bruce Willis Vincent D'Onofrio Dean Norris
The Vanishing of Sidney Hall,Shawn Christensen,Mystery Drama,Logan Lerman Elle Fanning Nathan Lane
Foxtrot,Randy Korompis,Action Science Fiction Drama,Oka Antara Rio Dewanto Arifin Putra
Pickings,Usher Morgan,Thriller Action Crime Drama Mystery,Elyse Price Katie Vincent Taso Mikroulis
A Wrinkle in Time,Betty Fotofili,Adventure Science Fiction Family Fantasy,Storm Reid Oprah Winfrey Lyric Wilson
Gringo,Adrian Grünberg,Action Thriller Crime Drama,Mel Gibson Kevin Hernandez Daniel Giménez Cacho
Thoroughbreds,Michael T. Meador,Drama Thriller,Anya Taylor-Joy Olivia Cooke Anton Yelchin
The Death of Stalin,Kevin Loader,Comedy Drama History,Steve Buscemi Simon Russell Beale Paddy Considine
The Leisure Seeker,Paolo Virzì,Drama Romance Adventure,Helen Mirren Donald Sutherland Christian McKay
The Strangers: Prey at Night,Johannes Roberts,Horror Thriller,Bailee Madison Lewis Pullman Christina Hendricks
The Hurricane Heist,Rob Cohen,Action Crime Thriller,Toby Kebbell Maggie Grace Ryan Kwanten
Tomb Raider,Roar Uthaug,Action Adventure Fantasy,Alicia Vikander Dominic West Walton Goggins
"Love, Simon",Greg Berlanti,Comedy Drama Romance,Nick Robinson Jennifer Garner Josh Duhamel
I Can Only Imagine,Jon Erwin,Music Drama,Dennis Quaid Cloris Leachman J. Michael Finley
7 Days in Entebbe,José Padilha,Thriller Drama Crime,Rosamund Pike Daniel Brühl Eddie Marsan
Furlough,Laurie Collyer,Comedy,Melissa Leo Tessa Thompson Edgar Ramírez
Josie,Eric England,Thriller Drama,Sophie Turner Dylan McDermott Jack Kilmer
Flower,Bryan Goeres,Drama Comedy,Zoey Deutch Kathryn Hahn Adam Scott
